fips,year,parameter_85101,parameter_88101,parameter_44201,parameter_42602,parameter_42401,parameter_42101,mortality_rate,cause_id
1073,1980,28.677419,8.115652,0.062878,12.16129,11.106227,1.14495,0.753168574822599,513
1073,1981,28.677419,8.115652,0.060707,12.16129,20.28483,1.353458,0.766804914344388,513
1073,1982,28.677419,8.115652,0.050467,12.16129,13.881356,2.065746,0.689790673194602,513
1073,1983,28.677419,8.115652,0.05497,12.16129,40.673077,2.216657,0.786395259740393,513
1073,1984,28.677419,8.115652,0.050019,12.16129,40.673077,1.192255,0.655652706030664,513
1073,1985,28.677419,8.115652,0.052218,12.16129,4.53434,1.097514,0.678276974108384,513
1073,1986,28.677419,8.115652,0.052897,12.16129,5.53454,1.135352,0.699573608977841,513
1073,1987,28.677419,8.115652,0.053194,12.16129,8.370892,1.107027,0.705782853777359,513
1073,1988,28.677419,8.115652,0.056022,12.16129,8.370892,1.211625,0.644468160996472,513
1073,1989,28.677419,8.115652,0.039815,12.16129,8.370892,0.949004,0.676435422251566,513
1073,1990,28.677419,8.115652,0.058302,12.16129,7.658351,0.826396,0.609222073445435,513
1073,1991,28.677419,8.115652,0.038719,12.16129,21.635616,0.757459,0.611376026023951,513
1073,1992,28.677419,8.115652,0.046335,12.16129,21.508197,1.413691,0.541999238236762,513
1073,1993,28.677419,8.115652,0.041829,12.16129,28.449315,0.915243,0.537172207485625,513
1073,1994,28.677419,8.115652,0.035113,12.16129,23.09863,0.931624,0.475372054226925,513
1073,1995,28.677419,8.115652,0.048553,12.16129,5.582967,1.218525,0.431574843575498,513
1073,1996,28.677419,8.115652,0.045894,12.16129,12.401639,0.716037,0.415078330037387,513
1073,1997,28.677419,8.115652,0.053724,12.16129,5.727684,1.126047,0.403377005304964,513
1073,1998,33.481894,8.115652,0.048363,12.16129,6.481451,1.072602,0.409461449582005,513
1073,1999,29.339623,23.485311,0.050604,12.16129,8.685596,1.213912,0.355241237853472,513
1073,2000,29.339623,20.738483,0.049722,12.16129,9.710756,1.396021,0.34847237629925,513
1073,2001,29.339623,17.964045,0.048322,12.16129,4.09895,1.29798,0.296222608384504,513
1073,2002,29.339623,16.570787,0.04649,12.16129,4.345055,0.269959,0.3105151004441,513
1073,2003,35.709677,15.639665,0.04711,12.16129,21.28,0.556773,0.268988909900436,513
1073,2004,36.056833,15.851105,0.048735,12.16129,10.473973,0.498177,0.231419233322383,513
1073,2005,35.271865,19.602216,0.054988,12.16129,3.119726,0.442467,0.201233441359913,513
1073,2006,32.019237,18.422527,0.049127,12.16129,2.572603,0.399977,0.212073521281674,513
