fips,year,parameter_85101,parameter_88101,parameter_44201,parameter_42602,parameter_42401,parameter_42101,mortality_rate,cause_id
1073,1980,28.677419,8.115652,0.062878,12.16129,11.106227,1.14495,0.109040764733507,512
1073,1981,28.677419,8.115652,0.060707,12.16129,20.28483,1.353458,0.106426491974434,512
1073,1982,28.677419,8.115652,0.050467,12.16129,13.881356,2.065746,0.107788070033128,512
1073,1983,28.677419,8.115652,0.05497,12.16129,40.673077,2.216657,0.116142078687247,512
1073,1984,28.677419,8.115652,0.050019,12.16129,40.673077,1.192255,0.11892261023934,512
1073,1985,28.677419,8.115652,0.052218,12.16129,4.53434,1.097514,0.130323998640733,512
1073,1986,28.677419,8.115652,0.052897,12.16129,5.53454,1.135352,0.143704884463293,512
1073,1987,28.677419,8.115652,0.053194,12.16129,8.370892,1.107027,0.160180866816511,512
1073,1988,28.677419,8.115652,0.056022,12.16129,8.370892,1.211625,0.174906962812821,512
1073,1989,28.677419,8.115652,0.039815,12.16129,8.370892,0.949004,0.190083512160085,512
1073,1990,28.677419,8.115652,0.058302,12.16129,7.658351,0.826396,0.201262401015051,512
1073,1991,28.677419,8.115652,0.038719,12.16129,21.635616,0.757459,0.221444458678341,512
1073,1992,28.677419,8.115652,0.046335,12.16129,21.508197,1.413691,0.215496043896359,512
1073,1993,28.677419,8.115652,0.041829,12.16129,28.449315,0.915243,0.234403138279767,512
1073,1994,28.677419,8.115652,0.035113,12.16129,23.09863,0.931624,0.248402482470298,512
1073,1995,28.677419,8.115652,0.048553,12.16129,5.582967,1.218525,0.26155746573334,512
1073,1996,28.677419,8.115652,0.045894,12.16129,12.401639,0.716037,0.281689727980854,512
1073,1997,28.677419,8.115652,0.053724,12.16129,5.727684,1.126047,0.302572139672941,512
1073,1998,33.481894,8.115652,0.048363,12.16129,6.481451,1.072602,0.340364727934205,512
1073,1999,29.339623,23.485311,0.050604,12.16129,8.685596,1.213912,0.352552352920509,512
1073,2000,29.339623,20.738483,0.049722,12.16129,9.710756,1.396021,0.398643080659268,512
1073,2001,29.339623,17.964045,0.048322,12.16129,4.09895,1.29798,0.39903503203979,512
1073,2002,29.339623,16.570787,0.04649,12.16129,4.345055,0.269959,0.432934422984659,512
1073,2003,35.709677,15.639665,0.04711,12.16129,21.28,0.556773,0.409523974660258,512
1073,2004,36.056833,15.851105,0.048735,12.16129,10.473973,0.498177,0.403488125192155,512
1073,2005,35.271865,19.602216,0.054988,12.16129,3.119726,0.442467,0.379622824426792,512
1073,2006,32.019237,18.422527,0.049127,12.16129,2.572603,0.399977,0.416326327401422,512
1073,2007,33.932889,17.716618,0.051151,12.16129,2.92011,0.513728,0.373032049506646,512
1073,2008,30.716071,15.524309,0.045098,12.16129,2.734752,0.708999,0.347395956854276,512
1073,2009,21.191413,11.341111,0.04022,12.16129,1.183043,0.511624,0.353304844856238,512
1073,2010,26.779225,13.823743,0.052053,12.16129,1.699178,0.245156,0.339465349448823,512
1073,2011,22.595541,13.318487,0.053567,12.16129,8.433237,0.267261,0.327003838804719,512
1073,2012,19.739198,10.653039,0.050249,12.16129,5.383621,0.431751,0.318279265833166,512
1073,2013,19.681034,12.135574,0.045649,23.141935,1.073629,0.233864,0.306292311266054,512
1073,2014,20.455845,11.65957,0.047612,28.600838,1.616741,0.43275,0.308869522791833,512
1077,1980,18.546205,12.640365,0.042592,10.212486,37.669173,0.251713,0.116017137772952,512
1077,1981,18.546205,12.640365,0.042592,10.212486,37.19883,0.251713,0.119542189243358,512
1077,1982,18.546205,12.640365,0.042592,10.212486,6.897457,0.251713,0.127026720363394,512
1077,1983,18.546205,12.640365,0.042592,10.212486,5.618154,0.251713,0.139469606223055,512
1077,1984,18.546205,12.640365,0.042592,10.212486,28.112121,0.251713,0.150035435142478,512
1077,1985,18.546205,12.640365,0.042592,10.212486,4.974046,0.251713,0.165072861863982,512
1077,1986,18.546205,12.640365,0.042592,10.212486,5.056707,0.251713,0.181293209558441,512
